Date,Close,MA50,MA200,Cross_Type
,AAPL,,,
2020-10-15,117.30305480957031,113.61895217895508,85.88250839233399,Golden Cross
2022-06-03,142.78384399414062,156.10378356933595,156.25670341491698,Death Cross
2022-09-26,148.2832794189453,157.51534881591797,157.47858196258545,Golden Cross
2022-10-07,137.77940368652344,156.04841247558593,156.19853855133056,Death Cross
2023-03-22,155.7217559814453,145.70778686523437,145.481217918396,Golden Cross
2024-03-14,171.6001739501953,181.9099853515625,181.96538429260255,Death Cross
2024-06-13,212.79470825195312,181.13378845214845,180.6472915649414,Golden Cross
